episode;steps;reward;average
6;105;-329.5651600345722;-209.12420896844736
7;95;-252.54042276271943;-214.55123569273135
8;108;-122.85946811163316;-204.36326151705376
9;120;-241.97075145643092;-208.1240105109915
10;62;-168.51283659069782;-204.5229947000557
11;123;-312.29872749534013;-213.5043057663294
12;79;-171.79384644366834;-210.2958088953555
13;68;-119.57612557515337;-203.81583151534105
14;126;-58.56074362363097;-194.13215898922707
15;77;38.42528045484681;-179.59731902397243
16;173;-59.0391618914167;-172.5056627220574
17;73;-72.44656719875613;-166.94682408187398
18;115;-112.22569041130683;-164.06676441500204
19;73;-82.92046536098476;-160.00944946230118
20;96;-318.6408928684674;-167.56332771973766
21;102;-373.5462389415773;-176.92618732073038
22;71;-170.27449094932507;-176.63698313066928
23;88;-74.11743434605573;-172.3653352646437
24;105;-172.02502225728085;-172.35172274434916
25;121;-134.61505811525427;-170.90031256630706
26;92;-126.47035260198365;-169.25475849355436
27;123;-374.3124616017218;-176.57824789027464
28;101;-135.38249296214133;-175.15770461689073
29;134;-347.5732492957857;-180.90488943952056
30;103;-184.44109897577505;-181.0189607148836
31;188;-54.99534124548672;-177.08072260646492
32;114;-127.22725119650461;-175.57001135161764
33;154;-148.4578321564985;-174.7725943164671
34;65;-58.05561486720447;-171.4378234750596
35;144;-250.4936689741859;-173.63381918336867
36;117;-58.274939758796606;-170.5160116313532
37;121;-239.1486488330883;-172.32213366297782
38;72;-97.59109972865986;-170.40595330568763
39;125;-66.79214423848795;-167.8156080790076
40;83;-57.505287756489665;-165.1251124613852
41;68;-86.22937464436941;-163.24664251336102
42;120;-176.5425706476749;-163.55585014439157
43;90;-54.76434666272458;-161.08331597435367
44;91;-164.73757532628633;-161.16452173772996
45;63;-183.36811662099626;-161.64720858301834
46;123;-9.409199239138928;-158.4081020012337
47;152;-181.9561180512975;-158.89868566894336
48;123;-107.52286494290516;-157.85019953167728
49;115;-234.6794187910496;-159.38678391686474
50;125;10.803046043095136;-156.04972842745374
51;145;-143.4241615555889;-155.80692906453328
52;155;-274.6233997349847;-158.04874926586257
53;93;-88.30232079957796;-156.75714873870913
54;85;-116.0096667479483;-156.01628542978622
55;75;-136.40544984495793;-155.66609193719998
56;144;-139.7649949236635;-155.3871253229274
57;98;-91.44305177144979;-154.2846412961778
58;149;-122.59816411675399;-153.74758236093334
59;105;-31.81605219855804;-151.7153901915604
60;143;-55.855803059423735;-150.14392155004995
61;300;-93.93224157275554;-149.23728155041616
62;74;-107.67141977516481;-148.577505966682
63;74;-122.48103948997074;-148.16974867798342
64;108;-53.512584363648514;-146.71348461160903
65;84;-95.05755709205555;-145.93081904313095
66;118;-247.321635533799;-147.4441148116484
67;183;-141.05351478785255;-147.35013539953374
68;79;-22.938997592059522;-145.5470754313095
69;124;-90.603818524765;-144.762171761216
70;145;-75.20421315861081;-143.78248220343283
71;143;-68.78298796588214;-142.7408225612446
72;113;-46.88666533503606;-141.42775191431025
73;135;-114.97416537683003;-141.07027101515513
74;123;-202.10781892990485;-141.88410498735178
75;109;-98.2575867851029;-141.31007185311165
76;231;-86.271000216365;-140.5952787149721
77;132;-114.16193739100835;-140.25638972363924
78;132;-55.66019167442546;-139.1855517736492
79;73;-76.331703960948;-138.39987867599044
80;66;-60.52608049382806;-137.43847376016126
81;162;-43.05693056534598;-136.28747933095622
82;160;-50.891791371117144;-135.25861562059671
83;76;-79.11515839220093;-134.59024112978244
84;72;-21.879322098678017;-133.2642303176518
85;107;-26.658769040647016;-132.0246319307099
86;119;-84.04183584574206;-131.47310553892865
87;119;-50.31911712651322;-130.5509011251512
88;105;-30.212188762225196;-129.42349986264642
89;230;-65.74373520645531;-128.71594692202208
90;133;-55.073778229838865;-127.90669232100907
91;130;-65.55833265029321;-127.22899275937085
92;125;-85.56420302459446;-126.78098426759907
93;125;-19.804834019071365;-125.64294011601898
94;161;-85.87957636563654;-125.22437839233073
95;187;-25.983069472256574;-124.19061475774663
96;128;-108.42740485930975;-124.02810743920605
97;184;-34.98074665770302;-123.11946090061927
98;101;-44.503406396407485;-122.32535933997066
99;146;-93.4068501981677;-122.03617424855264
100;149;14.441578706433859;-120.16379021243743
101;103;-55.444504950693656;-118.51415359842512
102;105;-70.06632768992657;-117.30395836570702
103;111;-91.86738483716942;-115.248794230096
104;126;-41.53576922522252;-114.13397386267383
105;223;-193.12194531121065;-115.06907475418492
106;127;-38.17269457233835;-112.1551500995626
107;126;-90.29731067000694;-110.53271897863547
108;78;-70.87938147471326;-110.01291811226628
109;138;-103.15359157312182;-108.6247465134332
110;153;-34.43431300347987;-107.28396127756099
111;225;-97.59138207155101;-105.13688782332312
112;161;-15.724094011087317;-103.5761902989973
113;124;-92.20516798403455;-103.30248072308613
114;128;-44.0049444167402;-103.15692273101722
115;223;-68.61190717904238;-104.2272946073561
116;129;-71.27312459267297;-104.34963423436868
117;80;-127.84353402858164;-104.90360390266693
118;109;-19.596908595194407;-103.97731608450582
119;240;-84.64346350669487;-103.99454606596291
120;150;-68.62902612654723;-101.4944273985437
121;191;41.95293874677327;-97.3394356216602
122;234;-68.8952442465908;-96.32564315463286
123;383;-18.875363071885758;-95.77322244189116
124;92;-71.14101667693355;-94.76438238608768
125;229;-71.0495901191108;-94.12872770612624
126;218;-91.04901651062706;-93.77451434521268
127;290;-17.1195311727067;-90.20258504092253
128;427;-43.33972357459143;-89.28215734704703
129;119;-12.51813657886548;-85.9316062198778
