episode;steps;reward;average
0;79;-176.6424273688532;-176.6424273688532
1;65;-201.3844749333241;-189.01345115108865
2;95;-11.097181082077228;-129.7080277947515
3;106;-183.58616056088422;-143.17756098628467
4;90;-206.93348070209277;-155.92874492944628
5;69;-161.61509271700837;-156.87646956070662
6;107;-80.37853071040686;-145.9481925820924
7;95;-381.3562276880045;-175.3741969703314
8;89;-299.6443580138191;-189.18199264183005
9;59;-94.8861671086989;-179.7524100885169
10;90;-112.18201289714526;-173.60964670748314
11;69;-209.52650826513178;-176.60271850395387
12;142;-429.34535975937183;-196.04446013898604
13;79;-105.14306565267253;-189.55150338996367
14;114;-353.2007128922317;-200.46145069011487
15;107;-270.06694125875583;-204.8117938506549
16;101;-448.1871598178819;-219.12799184872708
17;121;-170.9129263488532;-216.4493770987341
18;114;-271.8332280596875;-219.36431662299478
19;79;-223.48080116069454;-219.57014084987978
20;126;-221.87459427572838;-219.67987672730115
21;93;-228.56752987151336;-220.08386096112898
22;112;-117.27145983792882;-215.6137565644681
23;83;-306.25481335825566;-219.39046726420926
24;85;-153.8838344914891;-216.77020195330044
25;65;-125.09910417951818;-213.24439050046266
26;122;-222.20324299600054;-213.57619985214927
27;134;-127.28840705528425;-210.49449296654694
28;100;-217.04471346883113;-210.7203626390395
29;115;-110.81322623733384;-207.39012475898264
30;101;-165.6466578716914;-206.04356131100553
31;139;-60.70547221858463;-201.50174602686732
32;81;-124.53670326211335;-199.16947200369296
33;86;-95.40579208443464;-196.11759906489124
34;93;-59.282769901984864;-192.20803251737962
35;99;-146.42493758691165;-190.93627988042215
36;120;-86.04315866775389;-188.10133065845815
37;109;-76.323172687852;-185.15980018554748
38;77;-79.16529920650197;-182.44199246813605
39;105;-180.68941061867523;-182.39817792189956
40;120;-6.3500833375150165;-178.10432195642676
41;89;-113.3631808378251;-176.56286621550765
42;129;-92.50504904665905;-174.60803325809258
43;107;-88.94314362525452;-172.66110394825535
44;81;-127.42438671098631;-171.65584356520492
45;100;-43.86670927678942;-168.87781890676112
46;102;-108.63155364236276;-167.5959834756037
47;142;-219.32303981306384;-168.67363048263414
48;145;-44.25664247269246;-166.1345082783496
49;113;-41.24654261244299;-163.63674896503147
50;70;-100.00628093417347;-162.38909272913233
51;144;-35.94036312545248;-159.9573863906
52;108;-83.40334778039738;-158.512970567766
53;145;-121.41303776307277;-157.8259347750865
54;128;-120.76064989833208;-157.15202050460002
55;78;-75.92137011083635;-155.70147317613996
56;73;-112.45930824829216;-154.94283870372158
57;138;-104.67197089577053;-154.07609960358448
58;119;-43.410851962847005;-152.20041744018212
59;134;-121.74517276273204;-151.6928300288913
60;103;-127.36510511451928;-151.2940148663606
61;107;-118.88816381183572;-150.77133984935216
62;230;-200.53457430843662;-151.5612324598138
63;102;-164.13879853676156;-151.75775692976615
64;133;-138.58979807077495;-151.5551729473201
65;97;-68.25090107637725;-150.29298700988159
66;151;-149.01736788627517;-150.27394791848448
67;113;-58.5748247338889;-148.92543140106395
68;154;-26.134115721846825;-147.14584711585792
69;139;-35.5726312939707;-145.5519440326881
70;116;-240.51531622740393;-146.8894563171207
71;126;-144.17852401866054;-146.85180447964208
72;83;-97.58000690533879;-146.17684834848725
73;115;-61.26631407528747;-145.0294086961467
74;132;-143.99524305731137;-145.01561982096223
75;96;-87.01596081457485;-144.25246641298347
76;185;-239.91308214016468;-145.49481207177803
77;194;-73.82675300182072;-144.57599080165036
78;88;-83.98445307884592;-143.80900931148827
79;151;-60.90398913765954;-142.77269655931545
80;183;-37.13366326276412;-141.46851096306173
81;124;-57.661557975063076;-140.446474951013
82;184;-45.341265851007506;-139.30062905824184
83;115;-94.39687171516503;-138.7660605184433
84;230;-18.33758290960121;-137.34925489951573
85;168;-56.822267377083605;-136.41289457948744
86;110;28.99764750464672;-134.51162398081925
87;95;-72.02676693136465;-133.8015687870754
88;108;-103.30253650638674;-133.4588830311126
89;76;-42.55112634287582;-132.44879684568775
90;96;-65.91196206362774;-131.7176228370937
91;156;-23.926654910708123;-130.54598188137214
92;117;-96.12119988971016;-130.17582293522523
93;167;-67.45553859077208;-129.50858586773106
94;114;-26.834483649392197;-128.42780584438012
95;105;-106.11437188953012;-128.19537424068375
96;499;77.5256562668542;-126.07453887462665
97;107;-73.89075072163446;-125.54205124041243
98;87;-42.33799372895005;-124.70160621504412
99;218;-115.24633871217391;-124.60705354001543
100;150;-241.9493717933171;-125.26012298426006
101;82;-74.08412584609553;-123.98711949338778
102;92;-54.21926205579439;-124.41834030312495
103;160;-41.638684812727206;-122.99886554564338
104;147;-113.82760559336464;-122.0678067945561
105;109;-84.53191339518767;-121.29697500133788
106;127;-23.990676677101717;-120.73309646100485
107;109;-46.045987249920756;-117.37999405662401
108;232;-35.90411074309898;-114.74259158391682
109;90;-44.08506704738714;-114.23458058330368
110;114;-152.48405376254314;-114.63760099195765
111;100;-56.029665525722024;-113.10263256456358
112;88;-31.558196043680724;-109.12476092740665
113;241;-10.1444514309742;-108.1747747851897
114;117;-76.98326138841693;-105.41260027015156
115;96;-59.815815700071795;-103.31008901456472
