episode;steps;reward;average
0;103;-328.0562131030075;-328.0562131030075
1;105;-97.5935917839903;-212.8249024434989
2;77;-174.14950456097128;-199.93310314932305
3;72;-243.7177023530402;-210.87925295025232
4;89;-248.02514706556332;-218.30843177331454
5;70;-89.18271257496195;-196.78747857358908
6;140;-422.4065274370379;-229.0187712683675
7;57;-105.21008303955793;-213.54268523976629
8;76;-109.36664852664676;-201.96757004941966
9;116;-381.2277498868696;-219.8935880331647
10;98;-347.22282804547785;-231.4689734888295
11;131;-221.5871732197853;-230.6454901330758
12;89;-129.20959596550685;-222.8427290432628
13;67;-99.43256443392754;-214.02771728545312
14;75;-340.3149130931165;-222.44686367263068
15;123;-207.15738938447345;-221.49127152962086
16;91;-149.2913808042401;-217.24421913401022
17;121;-85.84022829400065;-209.94399742067634
18;111;-155.78293692303436;-207.0934152892215
19;92;-115.61977959557916;-202.51973350453937
20;70;-57.7961125920807;-195.628132508708
21;140;-379.26461132423896;-203.97524518214124
22;96;-139.4602702285968;-201.17024627111755
23;114;-151.76024105876854;-199.1114960539364
24;126;-117.70406815172649;-195.855198937848
25;82;-70.49605870628787;-191.03369354432647
26;119;-216.78106921206404;-191.98730005053895
27;125;-187.52747822822556;-191.82802069974204
28;105;-216.32422481857117;-192.6727173934948
29;101;-29.282320030090332;-187.22637081471464
30;129;-167.95581920795723;-186.60474011772246
31;98;-98.04211139973921;-183.8371579702855
32;75;-145.99125468751458;-182.69031241626215
33;107;-66.7012752250512;-179.2788701459324
34;81;-85.50732219296304;-176.59968306156185
35;102;-115.32756279074312;-174.89767972070578
36;134;-70.80506519313943;-172.08436581455535
37;110;-80.30715733499959;-169.66917611772496
38;154;-98.95302874852469;-167.85594156979673
39;85;-13.782537664253397;-164.0041064721581
40;89;-248.36732299658652;-166.06174589958317
41;92;21.579666060817985;-161.59409323385935
42;118;-165.56463130718572;-161.68643132858787
43;79;-25.960720104043645;-158.60175607348458
44;100;-80.50731152505453;-156.86632397240837
45;96;-159.61149246406669;-156.926001548314
46;96;-58.26697430246628;-154.82687330904062
47;124;-383.6505963346086;-159.59403420540662
48;77;-152.27770703084923;-159.44472140592586
49;113;-72.69850654281518;-157.70979710866365
50;98;-102.40885834367452;-156.6254649760168
51;149;-0.06680711166411868;-153.61472155554847
52;73;-138.18534120319117;-153.32360117154172
53;127;-99.63841687989107;-152.3294310920667
54;81;-163.9472898411813;-152.54066488750513
55;117;-140.0664401463449;-152.31791087427018
56;109;-187.59670856578748;-152.93683714955995
57;92;-140.7568359454135;-152.7268371287988
58;129;-150.57145028936282;-152.69030514846935
59;100;-72.32452647105626;-151.3508755038458
60;113;-129.71121824958087;-150.99612702426768
61;148;-50.82406792876327;-149.38044865175954
62;119;-98.60115340262739;-148.57442809224952
63;203;-161.34644959251833;-148.77399092819127
64;116;-297.1854638036132;-151.0572443570439
65;77;-69.51766516499507;-149.8217961874674
66;148;-55.69567203881943;-148.4169286628607
67;136;-57.35489471107601;-147.07778110474624
68;105;-112.3694654870383;-146.57476203782292
69;156;-122.21959368403678;-146.22683106134025
70;150;-219.94431493964714;-147.26510548216146
71;83;-95.23192236174654;-146.54242238326685
72;499;102.22904831221393;-143.13459401757535
73;140;-466.46041734099344;-147.50386190032424
74;115;-194.2941353075076;-148.12773221242003
75;93;-49.476551712393906;-146.82969036373547
76;177;-107.1852768377892;-146.3148278504115
77;135;-182.63712502268615;-146.78049832697909
78;144;-209.43328132893973;-147.57357152953557
79;107;-203.27814481570664;-148.2698786956127
80;124;-69.30245751033742;-147.29497226122658
81;130;-86.52864204156005;-146.55391945366966
82;155;-74.09340669581393;-145.6809012276714
83;95;-63.792678861622186;-144.7060414375994
